platform,source_name,article_id,published_at,title,summary,category,url,date
rss,Ynet,14,2023-09-01 12:55:00,Home Front Command updates shelter protocols for Tel Aviv,Simulated article summary for category 'home_front' from Ynet.,home_front,https://ynet.co.il/article/14,2023-09-01
rss,Ynet,15,2023-09-01 11:51:00,Cabinet emergency session addresses hostage deal,Simulated article summary for category 'politics' from Ynet.,politics,https://ynet.co.il/article/15,2023-09-01
rss,Ynet,16,2023-09-01 10:21:00,IDF reports 48 rockets intercepted over Ashkelon,Simulated article summary for category 'security' from Ynet.,security,https://ynet.co.il/article/16,2023-09-01
rss,Ynet,17,2023-09-01 11:12:00,Home Front Command updates shelter protocols for Ashkelon,Simulated article summary for category 'home_front' from Ynet.,home_front,https://ynet.co.il/article/17,2023-09-01
rss,Ynet,18,2023-09-01 09:47:00,Home Front Command updates shelter protocols for Kiryat Gat,Simulated article summary for category 'home_front' from Ynet.,home_front,https://ynet.co.il/article/18,2023-09-01
rss,Ynet,19,2023-09-01 11:48:00,BREAKING: Situation escalates as sirens sound in Sderot,Simulated article summary for category 'breaking_news' from Ynet.,breaking_news,https://ynet.co.il/article/19,2023-09-01
rss,Ynet,20,2023-09-01 07:57:00,Home Front Command updates shelter protocols for Jerusalem,Simulated article summary for category 'home_front' from Ynet.,home_front,https://ynet.co.il/article/20,2023-09-01
rss,Ynet,21,2023-09-01 08:23:00,IDF reports 25 rockets intercepted over Ashdod,Simulated article summary for category 'security' from Ynet.,security,https://ynet.co.il/article/21,2023-09-01
rss,Ynet,22,2023-09-01 10:20:00,Home Front Command updates shelter protocols for Beer Sheva,Simulated article summary for category 'home_front' from Ynet.,home_front,https://ynet.co.il/article/22,2023-09-01
rss,Ynet,23,2023-09-01 13:59:00,Cabinet emergency session addresses war cabinet decisions,Simulated article summary for category 'politics' from Ynet.,politics,https://ynet.co.il/article/23,2023-09-01
rss,Ynet,24,2023-09-01 23:28:00,IDF reports 17 rockets intercepted over Kiryat Gat,Simulated article summary for category 'security' from Ynet.,security,https://ynet.co.il/article/24,2023-09-01
rss,Ynet,25,2023-09-01 16:51:00,World leaders react to latest developments in Israel-Gaza war,Simulated article summary for category 'international' from Ynet.,international,https://ynet.co.il/article/25,2023-09-01
rss,Ynet,26,2023-09-01 17:30:00,IDF reports 23 rockets intercepted over Beer Sheva,Simulated article summary for category 'security' from Ynet.,security,https://ynet.co.il/article/26,2023-09-01
rss,Ynet,27,2023-09-01 08:50:00,Families demand updates on 16 hostages held in Gaza,Simulated article summary for category 'hostages' from Ynet.,hostages,https://ynet.co.il/article/27,2023-09-01
rss,Ynet,28,2023-09-01 20:05:00,Families demand updates on 36 hostages held in Gaza,Simulated article summary for category 'hostages' from Ynet.,hostages,https://ynet.co.il/article/28,2023-09-01
rss,Ynet,29,2023-09-01 07:06:00,Home Front Command updates shelter protocols for Kiryat Gat,Simulated article summary for category 'home_front' from Ynet.,home_front,https://ynet.co.il/article/29,2023-09-01
rss,Ynet,30,2023-09-01 13:19:00,Cabinet emergency session addresses Hamas leadership,Simulated article summary for category 'politics' from Ynet.,politics,https://ynet.co.il/article/30,2023-09-01
rss,Ynet,31,2023-09-01 15:45:00,IDF reports 48 rockets intercepted over Beer Sheva,Simulated article summary for category 'security' from Ynet.,security,https://ynet.co.il/article/31,2023-09-01
rss,Ynet,32,2023-09-01 08:26:00,Cabinet emergency session addresses ceasefire negotiations,Simulated article summary for category 'politics' from Ynet.,politics,https://ynet.co.il/article/32,2023-09-01
rss,Ynet,33,2023-09-01 16:13:00,Cabinet emergency session addresses ground operation,Simulated article summary for category 'politics' from Ynet.,politics,https://ynet.co.il/article/33,2023-09-01
rss,Ynet,34,2023-09-01 07:17:00,IDF reports 8 rockets intercepted over Jerusalem,Simulated article summary for category 'security' from Ynet.,security,https://ynet.co.il/article/34,2023-09-01
rss,Ynet,35,2023-09-01 11:21:00,Families demand updates on 2 hostages held in Gaza,Simulated article summary for category 'hostages' from Ynet.,hostages,https://ynet.co.il/article/35,2023-09-01
rss,Ynet,36,2023-09-01 22:33:00,Families demand updates on 8 hostages held in Gaza,Simulated article summary for category 'hostages' from Ynet.,hostages,https://ynet.co.il/article/36,2023-09-01
rss,Ynet,37,2023-09-01 17:51:00,BREAKING: Situation escalates as sirens sound in Beer Sheva,Simulated article summary for category 'breaking_news' from Ynet.,breaking_news,https://ynet.co.il/article/37,2023-09-01
rss,Ynet,38,2023-09-01 17:20:00,Families demand updates on 10 hostages held in Gaza,Simulated article summary for category 'hostages' from Ynet.,hostages,https://ynet.co.il/article/38,2023-09-01
rss,Ynet,39,2023-09-01 10:36:00,Home Front Command updates shelter protocols for Kiryat Gat,Simulated article summary for category 'home_front' from Ynet.,home_front,https://ynet.co.il/article/39,2023-09-01
rss,Ynet,40,2023-09-01 22:33:00,Home Front Command updates shelter protocols for Kiryat Gat,Simulated article summary for category 'home_front' from Ynet.,home_front,https://ynet.co.il/article/40,2023-09-01
rss,Ynet,41,2023-09-01 14:59:00,Families demand updates on 36 hostages held in Gaza,Simulated article summary for category 'hostages' from Ynet.,hostages,https://ynet.co.il/article/41,2023-09-01
rss,Haaretz,42,2023-09-01 07:53:00,IDF reports 36 rockets intercepted over Sderot,Simulated article summary for category 'security' from Haaretz.,security,https://haaretz.co.il/article/42,2023-09-01
rss,Haaretz,43,2023-09-01 12:31:00,BREAKING: Situation escalates as sirens sound in Tel Aviv,Simulated article summary for category 'breaking_news' from Haaretz.,breaking_news,https://haaretz.co.il/article/43,2023-09-01
rss,Haaretz,44,2023-09-01 09:29:00,Home Front Command updates shelter protocols for Tel Aviv,Simulated article summary for category 'home_front' from Haaretz.,home_front,https://haaretz.co.il/article/44,2023-09-01
rss,Haaretz,45,2023-09-01 19:21:00,BREAKING: Situation escalates as sirens sound in Jerusalem,Simulated article summary for category 'breaking_news' from Haaretz.,breaking_news,https://haaretz.co.il/article/45,2023-09-01
rss,Haaretz,46,2023-09-01 19:46:00,Families demand updates on 17 hostages held in Gaza,Simulated article summary for category 'hostages' from Haaretz.,hostages,https://haaretz.co.il/article/46,2023-09-01
rss,Haaretz,47,2023-09-01 21:47:00,Home Front Command updates shelter protocols for Sderot,Simulated article summary for category 'home_front' from Haaretz.,home_front,https://haaretz.co.il/article/47,2023-09-01
rss,Haaretz,48,2023-09-01 20:08:00,IDF reports 40 rockets intercepted over Beer Sheva,Simulated article summary for category 'security' from Haaretz.,security,https://haaretz.co.il/article/48,2023-09-01
rss,Haaretz,49,2023-09-01 10:04:00,Home Front Command updates shelter protocols for Sderot,Simulated article summary for category 'home_front' from Haaretz.,home_front,https://haaretz.co.il/article/49,2023-09-01
rss,Haaretz,50,2023-09-01 15:49:00,IDF reports 44 rockets intercepted over Beer Sheva,Simulated article summary for category 'security' from Haaretz.,security,https://haaretz.co.il/article/50,2023-09-01
rss,Haaretz,51,2023-09-01 13:37:00,World leaders react to latest developments in Israel-Gaza war,Simulated article summary for category 'international' from Haaretz.,international,https://haaretz.co.il/article/51,2023-09-01
rss,Haaretz,52,2023-09-01 22:28:00,Home Front Command updates shelter protocols for Jerusalem,Simulated article summary for category 'home_front' from Haaretz.,home_front,https://haaretz.co.il/article/52,2023-09-01
rss,Haaretz,53,2023-09-01 17:35:00,IDF reports 48 rockets intercepted over Ashkelon,Simulated article summary for category 'security' from Haaretz.,security,https://haaretz.co.il/article/53,2023-09-01
rss,Haaretz,54,2023-09-01 16:37:00,Home Front Command updates shelter protocols for Kiryat Gat,Simulated article summary for category 'home_front' from Haaretz.,home_front,https://haaretz.co.il/article/54,2023-09-01
rss,Haaretz,55,2023-09-01 20:35:00,IDF reports 13 rockets intercepted over Tel Aviv,Simulated article summary for category 'security' from Haaretz.,security,https://haaretz.co.il/article/55,2023-09-01
rss,Haaretz,56,2023-09-01 21:52:00,BREAKING: Situation escalates as sirens sound in Tel Aviv,Simulated article summary for category 'breaking_news' from Haaretz.,breaking_news,https://haaretz.co.il/article/56,2023-09-01
rss,Haaretz,57,2023-09-01 11:25:00,Families demand updates on 19 hostages held in Gaza,Simulated article summary for category 'hostages' from Haaretz.,hostages,https://haaretz.co.il/article/57,2023-09-01
rss,Haaretz,58,2023-09-01 15:34:00,Families demand updates on 25 hostages held in Gaza,Simulated article summary for category 'hostages' from Haaretz.,hostages,https://haaretz.co.il/article/58,2023-09-01
rss,Haaretz,59,2023-09-01 23:53:00,Cabinet emergency session addresses ground operation,Simulated article summary for category 'politics' from Haaretz.,politics,https://haaretz.co.il/article/59,2023-09-01
rss,Haaretz,60,2023-09-01 14:08:00,IDF reports 3 rockets intercepted over Tel Aviv,Simulated article summary for category 'security' from Haaretz.,security,https://haaretz.co.il/article/60,2023-09-01
rss,Haaretz,61,2023-09-01 08:07:00,IDF reports 23 rockets intercepted over Kiryat Gat,Simulated article summary for category 'security' from Haaretz.,security,https://haaretz.co.il/article/61,2023-09-01
rss,Haaretz,62,2023-09-01 18:21:00,Cabinet emergency session addresses hostage deal,Simulated article summary for category 'politics' from Haaretz.,politics,https://haaretz.co.il/article/62,2023-09-01
rss,Haaretz,63,2023-09-01 17:16:00,BREAKING: Situation escalates as sirens sound in Jerusalem,Simulated article summary for category 'breaking_news' from Haaretz.,breaking_news,https://haaretz.co.il/article/63,2023-09-01
rss,Times of Israel,64,2023-09-01 15:20:00,IDF reports 31 rockets intercepted over Sderot,Simulated article summary for category 'security' from Times of Israel.,security,https://timesofisrael.co.il/article/64,2023-09-01
rss,Times of Israel,65,2023-09-01 10:25:00,IDF reports 48 rockets intercepted over Tel Aviv,Simulated article summary for category 'security' from Times of Israel.,security,https://timesofisrael.co.il/article/65,2023-09-01
rss,Times of Israel,66,2023-09-01 16:38:00,IDF reports 47 rockets intercepted over Kiryat Gat,Simulated article summary for category 'security' from Times of Israel.,security,https://timesofisrael.co.il/article/66,2023-09-01
rss,Times of Israel,67,2023-09-01 10:10:00,Home Front Command updates shelter protocols for Ashdod,Simulated article summary for category 'home_front' from Times of Israel.,home_front,https://timesofisrael.co.il/article/67,2023-09-01
rss,Times of Israel,68,2023-09-01 06:34:00,Home Front Command updates shelter protocols for Beer Sheva,Simulated article summary for category 'home_front' from Times of Israel.,home_front,https://timesofisrael.co.il/article/68,2023-09-01
rss,Times of Israel,69,2023-09-01 11:33:00,Cabinet emergency session addresses ceasefire negotiations,Simulated article summary for category 'politics' from Times of Israel.,politics,https://timesofisrael.co.il/article/69,2023-09-01
rss,Times of Israel,70,2023-09-01 16:09:00,IDF reports 33 rockets intercepted over Jerusalem,Simulated article summary for category 'security' from Times of Israel.,security,https://timesofisrael.co.il/article/70,2023-09-01
rss,Times of Israel,71,2023-09-01 10:20:00,Families demand updates on 20 hostages held in Gaza,Simulated article summary for category 'hostages' from Times of Israel.,hostages,https://timesofisrael.co.il/article/71,2023-09-01
rss,Times of Israel,72,2023-09-01 17:59:00,IDF reports 40 rockets intercepted over Ashdod,Simulated article summary for category 'security' from Times of Israel.,security,https://timesofisrael.co.il/article/72,2023-09-01
rss,Times of Israel,73,2023-09-01 20:18:00,BREAKING: Situation escalates as sirens sound in Jerusalem,Simulated article summary for category 'breaking_news' from Times of Israel.,breaking_news,https://timesofisrael.co.il/article/73,2023-09-01
rss,Times of Israel,74,2023-09-01 19:28:00,Families demand updates on 42 hostages held in Gaza,Simulated article summary for category 'hostages' from Times of Israel.,hostages,https://timesofisrael.co.il/article/74,2023-09-01
rss,Times of Israel,75,2023-09-01 10:13:00,IDF reports 25 rockets intercepted over Jerusalem,Simulated article summary for category 'security' from Times of Israel.,security,https://timesofisrael.co.il/article/75,2023-09-01
rss,Times of Israel,76,2023-09-01 06:46:00,World leaders react to latest developments in Israel-Gaza war,Simulated article summary for category 'international' from Times of Israel.,international,https://timesofisrael.co.il/article/76,2023-09-01
rss,Times of Israel,77,2023-09-01 16:33:00,BREAKING: Situation escalates as sirens sound in Ashkelon,Simulated article summary for category 'breaking_news' from Times of Israel.,breaking_news,https://timesofisrael.co.il/article/77,2023-09-01
rss,Times of Israel,78,2023-09-01 07:27:00,IDF reports 42 rockets intercepted over Kiryat Gat,Simulated article summary for category 'security' from Times of Israel.,security,https://timesofisrael.co.il/article/78,2023-09-01
rss,Times of Israel,79,2023-09-01 13:25:00,Families demand updates on 37 hostages held in Gaza,Simulated article summary for category 'hostages' from Times of Israel.,hostages,https://timesofisrael.co.il/article/79,2023-09-01
rss,Times of Israel,80,2023-09-01 16:56:00,Home Front Command updates shelter protocols for Jerusalem,Simulated article summary for category 'home_front' from Times of Israel.,home_front,https://timesofisrael.co.il/article/80,2023-09-01
rss,Times of Israel,81,2023-09-01 11:20:00,Home Front Command updates shelter protocols for Ashkelon,Simulated article summary for category 'home_front' from Times of Israel.,home_front,https://timesofisrael.co.il/article/81,2023-09-01
rss,Times of Israel,82,2023-09-01 21:35:00,Cabinet emergency session addresses Hamas leadership,Simulated article summary for category 'politics' from Times of Israel.,politics,https://timesofisrael.co.il/article/82,2023-09-01
rss,Times of Israel,83,2023-09-01 19:04:00,Cabinet emergency session addresses ground operation,Simulated article summary for category 'politics' from Times of Israel.,politics,https://timesofisrael.co.il/article/83,2023-09-01
rss,Times of Israel,84,2023-09-01 13:15:00,IDF reports 14 rockets intercepted over Kiryat Gat,Simulated article summary for category 'security' from Times of Israel.,security,https://timesofisrael.co.il/article/84,2023-09-01
rss,Times of Israel,85,2023-09-01 11:52:00,IDF reports 18 rockets intercepted over Sderot,Simulated article summary for category 'security' from Times of Israel.,security,https://timesofisrael.co.il/article/85,2023-09-01
rss,Times of Israel,86,2023-09-01 20:54:00,Home Front Command updates shelter protocols for Kiryat Gat,Simulated article summary for category 'home_front' from Times of Israel.,home_front,https://timesofisrael.co.il/article/86,2023-09-01
rss,Times of Israel,87,2023-09-01 23:36:00,Home Front Command updates shelter protocols for Jerusalem,Simulated article summary for category 'home_front' from Times of Israel.,home_front,https://timesofisrael.co.il/article/87,2023-09-01
rss,Times of Israel,88,2023-09-01 15:36:00,Home Front Command updates shelter protocols for Sderot,Simulated article summary for category 'home_front' from Times of Israel.,home_front,https://timesofisrael.co.il/article/88,2023-09-01
rss,Times of Israel,89,2023-09-01 22:59:00,Cabinet emergency session addresses ceasefire negotiations,Simulated article summary for category 'politics' from Times of Israel.,politics,https://timesofisrael.co.il/article/89,2023-09-01
rss,Times of Israel,90,2023-09-01 07:58:00,Cabinet emergency session addresses Hamas leadership,Simulated article summary for category 'politics' from Times of Israel.,politics,https://timesofisrael.co.il/article/90,2023-09-01
rss,Times of Israel,91,2023-09-01 09:08:00,IDF reports 44 rockets intercepted over Tel Aviv,Simulated article summary for category 'security' from Times of Israel.,security,https://timesofisrael.co.il/article/91,2023-09-01
rss,Times of Israel,92,2023-09-01 18:44:00,Families demand updates on 44 hostages held in Gaza,Simulated article summary for category 'hostages' from Times of Israel.,hostages,https://timesofisrael.co.il/article/92,2023-09-01
rss,Times of Israel,93,2023-09-01 19:53:00,World leaders react to latest developments in Israel-Gaza war,Simulated article summary for category 'international' from Times of Israel.,international,https://timesofisrael.co.il/article/93,2023-09-01
rss,Times of Israel,94,2023-09-01 09:20:00,IDF reports 7 rockets intercepted over Sderot,Simulated article summary for category 'security' from Times of Israel.,security,https://timesofisrael.co.il/article/94,2023-09-01
rss,Times of Israel,95,2023-09-01 17:29:00,IDF reports 14 rockets intercepted over Tel Aviv,Simulated article summary for category 'security' from Times of Israel.,security,https://timesofisrael.co.il/article/95,2023-09-01
rss,Times of Israel,96,2023-09-01 10:12:00,Home Front Command updates shelter protocols for Sderot,Simulated article summary for category 'home_front' from Times of Israel.,home_front,https://timesofisrael.co.il/article/96,2023-09-01
rss,Times of Israel,97,2023-09-01 21:42:00,Families demand updates on 26 hostages held in Gaza,Simulated article summary for category 'hostages' from Times of Israel.,hostages,https://timesofisrael.co.il/article/97,2023-09-01
rss,Times of Israel,98,2023-09-01 20:36:00,BREAKING: Situation escalates as sirens sound in Ashkelon,Simulated article summary for category 'breaking_news' from Times of Israel.,breaking_news,https://timesofisrael.co.il/article/98,2023-09-01
rss,Times of Israel,99,2023-09-01 23:18:00,World leaders react to latest developments in Israel-Gaza war,Simulated article summary for category 'international' from Times of Israel.,international,https://timesofisrael.co.il/article/99,2023-09-01
rss,Times of Israel,100,2023-09-01 21:35:00,BREAKING: Situation escalates as sirens sound in Sderot,Simulated article summary for category 'breaking_news' from Times of Israel.,breaking_news,https://timesofisrael.co.il/article/100,2023-09-01
rss,Times of Israel,101,2023-09-01 08:00:00,World leaders react to latest developments in Israel-Gaza war,Simulated article summary for category 'international' from Times of Israel.,international,https://timesofisrael.co.il/article/101,2023-09-01
rss,Times of Israel,102,2023-09-01 12:49:00,Home Front Command updates shelter protocols for Tel Aviv,Simulated article summary for category 'home_front' from Times of Israel.,home_front,https://timesofisrael.co.il/article/102,2023-09-01
rss,Times of Israel,103,2023-09-01 20:16:00,BREAKING: Situation escalates as sirens sound in Tel Aviv,Simulated article summary for category 'breaking_news' from Times of Israel.,breaking_news,https://timesofisrael.co.il/article/103,2023-09-01
rss,Mako,104,2023-09-01 21:21:00,BREAKING: Situation escalates as sirens sound in Jerusalem,Simulated article summary for category 'breaking_news' from Mako.,breaking_news,https://mako.co.il/article/104,2023-09-01
rss,Mako,105,2023-09-01 21:45:00,Families demand updates on 2 hostages held in Gaza,Simulated article summary for category 'hostages' from Mako.,hostages,https://mako.co.il/article/105,2023-09-01
rss,Mako,106,2023-09-01 22:03:00,IDF reports 28 rockets intercepted over Beer Sheva,Simulated article summary for category 'security' from Mako.,security,https://mako.co.il/article/106,2023-09-01
rss,Mako,107,2023-09-01 11:26:00,Home Front Command updates shelter protocols for Ashkelon,Simulated article summary for category 'home_front' from Mako.,home_front,https://mako.co.il/article/107,2023-09-01
rss,Mako,108,2023-09-01 09:58:00,IDF reports 20 rockets intercepted over Kiryat Gat,Simulated article summary for category 'security' from Mako.,security,https://mako.co.il/article/108,2023-09-01
rss,Mako,109,2023-09-01 17:22:00,Families demand updates on 38 hostages held in Gaza,Simulated article summary for category 'hostages' from Mako.,hostages,https://mako.co.il/article/109,2023-09-01
rss,Mako,110,2023-09-01 13:28:00,Home Front Command updates shelter protocols for Ashkelon,Simulated article summary for category 'home_front' from Mako.,home_front,https://mako.co.il/article/110,2023-09-01
rss,Mako,111,2023-09-01 13:15:00,IDF reports 3 rockets intercepted over Beer Sheva,Simulated article summary for category 'security' from Mako.,security,https://mako.co.il/article/111,2023-09-01
rss,Mako,112,2023-09-01 16:03:00,Families demand updates on 9 hostages held in Gaza,Simulated article summary for category 'hostages' from Mako.,hostages,https://mako.co.il/article/112,2023-09-01
rss,Mako,113,2023-09-01 06:03:00,IDF reports 44 rockets intercepted over Beer Sheva,Simulated article summary for category 'security' from Mako.,security,https://mako.co.il/article/113,2023-09-01
rss,Mako,114,2023-09-01 23:47:00,Cabinet emergency session addresses hostage deal,Simulated article summary for category 'politics' from Mako.,politics,https://mako.co.il/article/114,2023-09-01
rss,Mako,115,2023-09-01 06:26:00,IDF reports 36 rockets intercepted over Jerusalem,Simulated article summary for category 'security' from Mako.,security,https://mako.co.il/article/115,2023-09-01
rss,Mako,116,2023-09-01 17:09:00,Cabinet emergency session addresses war cabinet decisions,Simulated article summary for category 'politics' from Mako.,politics,https://mako.co.il/article/116,2023-09-01
rss,Mako,117,2023-09-01 16:40:00,Home Front Command updates shelter protocols for Sderot,Simulated article summary for category 'home_front' from Mako.,home_front,https://mako.co.il/article/117,2023-09-01
rss,Mako,118,2023-09-01 09:49:00,Cabinet emergency session addresses ground operation,Simulated article summary for category 'politics' from Mako.,politics,https://mako.co.il/article/118,2023-09-01
rss,Mako,119,2023-09-01 13:08:00,Cabinet emergency session addresses Hamas leadership,Simulated article summary for category 'politics' from Mako.,politics,https://mako.co.il/article/119,2023-09-01
rss,Mako,120,2023-09-01 21:36:00,Home Front Command updates shelter protocols for Tel Aviv,Simulated article summary for category 'home_front' from Mako.,home_front,https://mako.co.il/article/120,2023-09-01
rss,Mako,121,2023-09-01 20:10:00,Families demand updates on 46 hostages held in Gaza,Simulated article summary for category 'hostages' from Mako.,hostages,https://mako.co.il/article/121,2023-09-01
rss,Mako,122,2023-09-01 16:07:00,Cabinet emergency session addresses hostage deal,Simulated article summary for category 'politics' from Mako.,politics,https://mako.co.il/article/122,2023-09-01
rss,Mako,123,2023-09-01 07:38:00,Cabinet emergency session addresses war cabinet decisions,Simulated article summary for category 'politics' from Mako.,politics,https://mako.co.il/article/123,2023-09-01
rss,Mako,124,2023-09-01 14:41:00,Cabinet emergency session addresses war cabinet decisions,Simulated article summary for category 'politics' from Mako.,politics,https://mako.co.il/article/124,2023-09-01
rss,Mako,125,2023-09-01 16:39:00,Home Front Command updates shelter protocols for Tel Aviv,Simulated article summary for category 'home_front' from Mako.,home_front,https://mako.co.il/article/125,2023-09-01
rss,Mako,126,2023-09-01 12:24:00,IDF reports 15 rockets intercepted over Tel Aviv,Simulated article summary for category 'security' from Mako.,security,https://mako.co.il/article/126,2023-09-01
rss,Mako,127,2023-09-01 08:03:00,IDF reports 11 rockets intercepted over Ashdod,Simulated article summary for category 'security' from Mako.,security,https://mako.co.il/article/127,2023-09-01
rss,Mako,128,2023-09-01 08:23:00,Home Front Command updates shelter protocols for Kiryat Gat,Simulated article summary for category 'home_front' from Mako.,home_front,https://mako.co.il/article/128,2023-09-01
rss,Mako,129,2023-09-01 07:19:00,Home Front Command updates shelter protocols for Beer Sheva,Simulated article summary for category 'home_front' from Mako.,home_front,https://mako.co.il/article/129,2023-09-01
rss,Mako,130,2023-09-01 13:36:00,IDF reports 42 rockets intercepted over Sderot,Simulated article summary for category 'security' from Mako.,security,https://mako.co.il/article/130,2023-09-01
rss,Mako,131,2023-09-01 18:08:00,Families demand updates on 30 hostages held in Gaza,Simulated article summary for category 'hostages' from Mako.,hostages,https://mako.co.il/article/131,2023-09-01
rss,Mako,132,2023-09-01 12:13:00,Cabinet emergency session addresses Hamas leadership,Simulated article summary for category 'politics' from Mako.,politics,https://mako.co.il/article/132,2023-09-01
rss,N12 News,133,2023-09-01 06:14:00,World leaders react to latest developments in Israel-Gaza war,Simulated article summary for category 'international' from N12 News.,international,https://n12news.co.il/article/133,2023-09-01
rss,N12 News,134,2023-09-01 07:13:00,IDF reports 39 rockets intercepted over Beer Sheva,Simulated article summary for category 'security' from N12 News.,security,https://n12news.co.il/article/134,2023-09-01
rss,N12 News,135,2023-09-01 07:42:00,IDF reports 50 rockets intercepted over Sderot,Simulated article summary for category 'security' from N12 News.,security,https://n12news.co.il/article/135,2023-09-01
rss,N12 News,136,2023-09-01 20:47:00,Home Front Command updates shelter protocols for Kiryat Gat,Simulated article summary for category 'home_front' from N12 News.,home_front,https://n12news.co.il/article/136,2023-09-01
rss,N12 News,137,2023-09-01 07:42:00,IDF reports 7 rockets intercepted over Sderot,Simulated article summary for category 'security' from N12 News.,security,https://n12news.co.il/article/137,2023-09-01
rss,N12 News,138,2023-09-01 21:16:00,IDF reports 26 rockets intercepted over Jerusalem,Simulated article summary for category 'security' from N12 News.,security,https://n12news.co.il/article/138,2023-09-01
rss,N12 News,139,2023-09-01 22:54:00,Families demand updates on 2 hostages held in Gaza,Simulated article summary for category 'hostages' from N12 News.,hostages,https://n12news.co.il/article/139,2023-09-01
rss,N12 News,140,2023-09-01 20:03:00,IDF reports 7 rockets intercepted over Ashdod,Simulated article summary for category 'security' from N12 News.,security,https://n12news.co.il/article/140,2023-09-01
rss,N12 News,141,2023-09-01 17:18:00,Families demand updates on 12 hostages held in Gaza,Simulated article summary for category 'hostages' from N12 News.,hostages,https://n12news.co.il/article/141,2023-09-01
rss,N12 News,142,2023-09-01 18:22:00,Home Front Command updates shelter protocols for Kiryat Gat,Simulated article summary for category 'home_front' from N12 News.,home_front,https://n12news.co.il/article/142,2023-09-01
rss,N12 News,143,2023-09-01 21:49:00,IDF reports 41 rockets intercepted over Beer Sheva,Simulated article summary for category 'security' from N12 News.,security,https://n12news.co.il/article/143,2023-09-01
rss,N12 News,144,2023-09-01 17:33:00,BREAKING: Situation escalates as sirens sound in Kiryat Gat,Simulated article summary for category 'breaking_news' from N12 News.,breaking_news,https://n12news.co.il/article/144,2023-09-01
rss,N12 News,145,2023-09-01 11:53:00,Home Front Command updates shelter protocols for Sderot,Simulated article summary for category 'home_front' from N12 News.,home_front,https://n12news.co.il/article/145,2023-09-01
rss,N12 News,146,2023-09-01 22:36:00,IDF reports 9 rockets intercepted over Ashdod,Simulated article summary for category 'security' from N12 News.,security,https://n12news.co.il/article/146,2023-09-01
rss,N12 News,147,2023-09-01 08:43:00,World leaders react to latest developments in Israel-Gaza war,Simulated article summary for category 'international' from N12 News.,international,https://n12news.co.il/article/147,2023-09-01
rss,N12 News,148,2023-09-01 06:19:00,Home Front Command updates shelter protocols for Ashkelon,Simulated article summary for category 'home_front' from N12 News.,home_front,https://n12news.co.il/article/148,2023-09-01
rss,N12 News,149,2023-09-01 17:31:00,IDF reports 38 rockets intercepted over Ashdod,Simulated article summary for category 'security' from N12 News.,security,https://n12news.co.il/article/149,2023-09-01
rss,N12 News,150,2023-09-01 20:05:00,IDF reports 10 rockets intercepted over Kiryat Gat,Simulated article summary for category 'security' from N12 News.,security,https://n12news.co.il/article/150,2023-09-01
